word,pinyin,start,file
弃暗投明,"['qi', 'an', 'tou', 'ming']",0:06:44.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部26.srt
明珠暗投,"['ming', 'zhu', 'an', 'tou']",0:24:14.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部28.srt
投石问路,"['tou', 'shi', 'wen', 'lu']",0:09:26.920000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-45.srt
路见不平,"['lu', 'jian', 'bu', 'ping']",0:04:00.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部31.srt
平易近人,"['ping', 'yi', 'jin', 'ren']",0:03:06.040000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-29.srt
人面兽心,"['ren', 'mian', 'shou', 'xin']",0:29:08.720000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部05.srt
心事重重,"['xin', 'shi', 'chong', 'chong']",0:11:01.100000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部32.srt
重义轻生,"['zhong', 'yi', 'qing', 'sheng']",0:18:13.920000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部07.srt
生死攸关,"['sheng', 'si', 'you', 'guan']",0:25:34.080000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-15.srt
关门打狗,"['guan', 'men', 'da', 'gou']",0:30:47.040000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部13.srt
狗眼看人,"['gou', 'yan', 'kan', 'ren']",0:24:23.720000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部01.srt
人尽其才,"['ren', 'jin', 'qi', 'cai']",0:40:44.400000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部16.srt
才貌双绝,"['cai', 'mao', 'shuang', 'jue']",0:09:37.160000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-40.srt
绝顶聪明,"['jue', 'ding', 'cong', 'ming']",0:29:51.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部28.srt
明目张胆,"['ming', 'mu', 'zhang', 'dan']",0:28:28.680000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-45.srt
胆大包天,"['dan', 'da', 'bao', 'tian']",0:15:11.360000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部22.srt
天下第一,"['tian', 'xia', 'di', 'yi']",0:32:07.960000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部20.srt
一拍即合,"['yi', 'pai', 'ji', 'he']",0:25:49.840000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-38.srt
合二为一,"['he', 'er', 'wei', 'yi']",0:10:10.480000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.25.1080P.PPTV原画.x264.srt
一唱一和,"['yi', 'chang', 'yi', 'he']",0:40:49.360000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部16.srt
和盘托出,"['he', 'pan', 'tuo', 'chu']",0:19:22.766000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部29.srt
出人意料,"['chu', 'ren', 'yi', 'liao']",0:11:56.890000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.06.1080P.PPTV原画.x264.srt
料事如神,"['liao', 'shi', 'ru', 'shen']",0:12:03.280000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部11.srt
神通广大,"['shen', 'tong', 'guang', 'da']",0:07:12.240000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-38.srt
大是大非,"['da', 'shi', 'da', 'fei']",0:25:12.600000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部20.srt
非同小可,"['fei', 'tong', 'xiao', 'ke']",0:32:17.600000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部09.srt
可想而知,"['ke', 'xiang', 'er', 'zhi']",0:11:30.330000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.19.1080P.PPTV原画.x264.srt
知无不言,"['zhi', 'wu', 'bu', 'yan']",0:07:12.266000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部26.srt
