word,pinyin,start,file
功德圆满,"['gong', 'de', 'yuan', 'man']",0:41:29.066000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部40.srt
漫不经心,"['man', 'bu', 'jing', 'xin']",0:12:12.410000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.14.1080P.PPTV原画.x264.srt
心腹大患,"['xin', 'fu', 'da', 'huan']",0:04:28.680000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部24.srt
欢欣鼓舞,"['huan', 'xin', 'gu', 'wu']",0:05:14.590000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.01.1080P.PPTV原画.x264.srt
乌合之众,"['wu', 'he', 'zhi', 'zhong']",0:35:37.633000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部26.srt
重义轻生,"['zhong', 'yi', 'qing', 'sheng']",0:18:13.920000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部07.srt
绳之以法,"['sheng', 'zhi', 'yi', 'fa']",0:29:11.400000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部05.srt
发号施令,"['fa', 'hao', 'shi', 'ling']",0:20:04.433000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部31.srt
令人发指,"['ling', 'ren', 'fa', 'zhi']",0:08:07.033000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部36.srt
执迷不悟,"['zhi', 'mi', 'bu', 'wu']",0:06:53.300000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部26.srt
无独有偶,"['wu', 'du', 'you', 'ou']",0:27:18.400000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部38.srt
呕心沥血,"['ou', 'xin', 'li', 'xue']",0:37:09.270000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.13.1080P.PPTV原画.x264.srt
雪上加霜,"['xue', 'shang', 'jia', 'shuang']",0:14:47.280000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部04.srt
双喜临门,"['shuang', 'xi', 'lin', 'men']",0:14:49.080000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部02.srt
门当户对,"['men', 'dang', 'hu', 'dui']",0:05:20.830000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.16.1080P.PPTV原画.x264.srt
对答如流,"['dui', 'da', 'ru', 'liu']",0:10:33.280000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.09.1080P.PPTV原画.x264.srt
流落江湖,"['liu', 'luo', 'jiang', 'hu']",0:38:19.930000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.20.1080P.PPTV原画.x264.srt
虎视耽耽,"['hu', 'shi', 'dan', 'dan']",0:14:39.240000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部04.srt
胆大包天,"['dan', 'da', 'bao', 'tian']",0:15:11.360000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部22.srt
天高地厚,"['tian', 'gao', 'di', 'hou']",0:21:59.700000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部38.srt
后顾之忧,"['hou', 'gu', 'zhi', 'you']",0:28:24.166000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部33.srt
有隙可乘,"['you', 'xi', 'ke', 'cheng']",0:41:44.440000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部02.srt
逞强好胜,"['cheng', 'qiang', 'hao', 'sheng']",0:20:59.666000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部38.srt
生灵涂炭,"['sheng', 'ling', 'tu', 'tan']",0:05:30.880000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部10.srt
谈何容易,"['tan', 'he', 'rong', 'yi']",0:33:05.633000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部28.srt
一模一样,"['yi', 'mu', 'yi', 'yang']",0:17:04.166000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部26.srt
阳奉阴违,"['yang', 'feng', 'yin', 'wei']",0:29:11.600000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部09.srt
惟命是从,"['wei', 'ming', 'shi', 'cong']",0:16:50.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部24.srt
从善如流,"['cong', 'shan', 'ru', 'liu']",0:20:43.766000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部31.srt
流离失所,"['liu', 'li', 'shi', 'suo']",0:04:43.120000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-22.srt
所见所闻,"['suo', 'jian', 'suo', 'wen']",0:03:24.760000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-36.srt
闻风丧胆,"['wen', 'feng', 'sang', 'dan']",0:38:35.433000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部38.srt
胆战心惊,"['dan', 'zhan', 'xin', 'jing']",0:24:48.040000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部24.srt
惊慌失措,"['jing', 'huang', 'shi', 'cuo']",0:12:21.160000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部22.srt
措手不及,"['cuo', 'shou', 'bu', 'ji']",0:24:33.800000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部09.srt
疾恶如仇,"['ji', 'e', 'ru', 'chou']",0:18:01.466000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部32.srt
臭不可闻,"['chou', 'bu', 'ke', 'wen']",0:36:22.920000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-11.srt
文治武功,"['wen', 'zhi', 'wu', 'gong']",0:14:36.880000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部02.srt
公子王孙,"['gong', 'zi', 'wang', 'sun']",0:27:59.950000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.21.1080P.PPTV原画.x264.srt
损兵折将,"['sun', 'bing', 'zhe', 'jiang']",0:14:56.170000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.27.1080P.PPTV原画.x264.srt
将功赎罪,"['jiang', 'gong', 'shu', 'zui']",0:24:09.440000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-15.srt
罪大恶极,"['zui', 'da', 'e', 'ji']",0:19:37.080000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部08.srt
几次三番,"['ji', 'ci', 'san', 'fan']",0:19:50.520000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部10.srt
翻山越岭,"['fan', 'shan', 'yue', 'ling']",0:11:00,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部08.srt
灵机一动,"['ling', 'ji', 'yi', 'dong']",0:35:07.090000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.28.1080P.PPTV原画.x264.srt
东跑西颠,"['dong', 'pao', 'xi', 'dian']",0:29:47.770000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.18.1080P.PPTV原画.x264.srt
点头哈腰,"['dian', 'tou', 'ha', 'yao']",0:31:56.280000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-40.srt
摇摇欲坠,"['yao', 'yao', 'yu', 'zhui']",0:05:52.880000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部10.srt
惴惴不安,"['zhui', 'zhui', 'bu', 'an']",0:10:02,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.30.1080P.PPTV原画.x264.srt
安然无恙,"['an', 'ran', 'wu', 'yang']",0:43:21.440000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部22.srt
养尊处优,"['yang', 'zun', 'chu', 'you']",0:07:51.380000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.20.1080P.PPTV原画.x264.srt
有生之年,"['you', 'sheng', 'zhi', 'nian']",0:34:42.280000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部09.srt
年深日久,"['nian', 'shen', 'ri', 'jiu']",0:20:58.700000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部33.srt
久闻大名,"['jiu', 'wen', 'da', 'ming']",0:13:55.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部06.srt
名副其实,"['ming', 'fu', 'qi', 'shi']",0:35:38,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部38.srt
失道寡助,"['shi', 'dao', 'gua', 'zhu']",0:06:41.900000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部26.srt
蛛丝马迹,"['zhu', 'si', 'ma', 'ji']",0:27:45.520000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部22.srt
既往不咎,"['ji', 'wang', 'bu', 'jiu']",0:32:26.760000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部20.srt
九泉之下,"['jiu', 'quan', 'zhi', 'xia']",0:24:54.120000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部20.srt
下不为例,"['xia', 'bu', 'wei', 'li']",0:34:33.266000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部31.srt
理所当然,"['li', 'suo', 'dang', 'ran']",0:27:56.720000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部08.srt
燃眉之急,"['ran', 'mei', 'zhi', 'ji']",0:41:32.280000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-19.srt
岌岌可危,"['ji', 'ji', 'ke', 'wei']",0:05:46.480000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.21.1080P.PPTV原画.x264.srt
为非作歹,"['wei', 'fei', 'zuo', 'dai']",0:06:40.833000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部31.srt
戴罪立功,"['dai', 'zui', 'li', 'gong']",0:25:16.820000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.03.1080P.PPTV原画.x264.srt
功亏一篑,"['gong', 'kui', 'yi', 'kui']",0:20:37.220000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.23.1080P.PPTV原画.x264.srt
